trial_no,scene,target,response_mode,shift_objects,shift_x,shift_y,shift_z,view_rotation,preview_label
1,O02,O02_L26,object,,0,0,0,180,Footstool
2,O02,O02_L23,object,,0,0,0,270,Globe
3,O02,O02_L01,object,,0,0,0,180,Sushi
4,O02,O02_L09,object,,0,0,0,90,Flowers
5,O02,O02_L11,object,,0,0,0,270,Cookies
6,O02,O02_L03,object,,0,0,0,270,Printer
7,O02,O02_L18,object,,0,0,0,180,Helicopter
8,O02,O02_L15,object,,0,0,0,90,Clock
9,O02,O02_L05,object,,0,0,0,0,Telephone
10,O02,O02_L06,object,,0,0,0,270,Lamp
1,O02,O02_L26,object,,0,0,0,180,Footstool
2,O02,O02_L23,object,,0,0,0,270,Globe
3,O02,O02_L01,object,,0,0,0,180,Sushi
4,O02,O02_L09,object,,0,0,0,90,Flowers
5,O02,O02_L11,object,,0,0,0,270,Cookies
6,O02,O02_L03,object,,0,0,0,270,Printer
7,O02,O02_L18,object,,0,0,0,180,Helicopter
8,O02,O02_L15,object,,0,0,0,90,Clock
9,O02,O02_L05,object,,0,0,0,0,Telephone
10,O02,O02_L06,object,,0,0,0,270,Lamp
1,O02,O02_L26,object,,0,0,0,180,Footstool
2,O02,O02_L23,object,,0,0,0,270,Globe
3,O02,O02_L01,object,,0,0,0,180,Sushi
4,O02,O02_L09,object,,0,0,0,90,Flowers
5,O02,O02_L11,object,,0,0,0,270,Cookies
6,O02,O02_L03,object,,0,0,0,270,Printer
7,O02,O02_L18,object,,0,0,0,180,Helicopter
8,O02,O02_L15,object,,0,0,0,90,Clock
9,O02,O02_L05,object,,0,0,0,0,Telephone
10,O02,O02_L06,object,,0,0,0,270,Lamp
1,O02,O02_L26,object,,0,0,0,180,Footstool
2,O02,O02_L23,object,,0,0,0,270,Globe
3,O02,O02_L01,object,,0,0,0,180,Sushi
4,O02,O02_L09,object,,0,0,0,90,Flowers
5,O02,O02_L11,object,,0,0,0,270,Cookies
6,O02,O02_L03,object,,0,0,0,270,Printer
7,O02,O02_L18,object,,0,0,0,180,Helicopter
8,O02,O02_L15,object,,0,0,0,90,Clock
9,O02,O02_L05,object,,0,0,0,0,Telephone
10,O02,O02_L06,object,,0,0,0,270,Lamp
1,O02,O02_L26,object,,0,0,0,180,Footstool
2,O02,O02_L23,object,,0,0,0,270,Globe
3,O02,O02_L01,object,,0,0,0,180,Sushi
4,O02,O02_L09,object,,0,0,0,90,Flowers
5,O02,O02_L11,object,,0,0,0,270,Cookies
6,O02,O02_L03,object,,0,0,0,270,Printer
7,O02,O02_L18,object,,0,0,0,180,Helicopter
8,O02,O02_L15,object,,0,0,0,90,Clock
9,O02,O02_L05,object,,0,0,0,0,Telephone
10,O02,O02_L06,object,,0,0,0,270,Lamp
